subject_company,peer_ticker,as_of_date,pe_2026e,pe_2027e,pbv_2026e,ev_ebitda_2026e,source_id
MSFT,GOOGL,2026-04-22,26.55,22.70,,17.16,MSFT_HENRY_20260422
MSFT,AMZN,2026-04-22,26.36,21.74,,12.36,MSFT_HENRY_20260422
MSFT,META,2026-04-22,21.63,18.65,,11.94,MSFT_HENRY_20260422
MSFT,ORCL,2026-04-22,21.17,19.78,,15.64,MSFT_HENRY_20260422
MSFT,CRM,2026-04-22,15.97,14.28,,19.34,MSFT_HENRY_20260422
AMZN,MSFT,2026-04-22,25.70,23.60,,19.75,MSFT_HENRY_20260422
AMZN,GOOGL,2026-04-22,26.55,22.70,,17.16,MSFT_HENRY_20260422
AMZN,META,2026-04-22,21.63,18.65,,11.94,MSFT_HENRY_20260422
AMZN,ORCL,2026-04-22,21.17,19.78,,15.64,MSFT_HENRY_20260422
AMZN,CRM,2026-04-22,15.97,14.28,,19.34,MSFT_HENRY_20260422
PTT,PTTEP,2026-05-06,7.2,,1.1,2.8,PTT_INVX_PRE_20260507
PTT,TOP,2026-05-06,3.4,,0.5,4.8,PTT_INVX_PRE_20260507
PTT,OR,2026-05-06,11.4,,1.3,4.6,PTT_INVX_PRE_20260507
PTT,BCP,2026-05-06,5.3,,0.7,3.4,PTT_INVX_PRE_20260507
PTT,SPRC,2026-05-06,13.8,,0.8,4.7,PTT_INVX_PRE_20260507
